County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Good_to_Moderate_Ratio,Unhealthy_Days_Percentage
Johnston,2019,363.0,294.0,69.0,0.0,0.0,0.0,0.0,87.0,55.0,40.0,0.0,0.0,166.0,197.0,0.0,4.260869565217392,0.0
Lenoir,2019,237.0,205.0,32.0,0.0,0.0,0.0,0.0,87.0,54.0,42.0,0.0,0.0,237.0,0.0,0.0,6.40625,0.0
Lincoln,2019,243.0,178.0,65.0,0.0,0.0,0.0,0.0,97.0,64.0,44.0,0.0,0.0,243.0,0.0,0.0,2.7384615384615385,0.0
Macon,2019,358.0,343.0,15.0,0.0,0.0,0.0,0.0,87.0,46.0,33.0,0.0,0.0,358.0,0.0,0.0,22.866666666666667,0.0
Martin,2019,295.0,261.0,34.0,0.0,0.0,0.0,0.0,74.0,51.0,40.0,0.0,0.0,237.0,0.0,58.0,7.676470588235294,0.0
Mitchell,2019,333.0,325.0,8.0,0.0,0.0,0.0,0.0,59.0,40.0,22.0,0.0,0.0,0.0,333.0,0.0,40.625,0.0
Montgomery,2019,365.0,308.0,57.0,0.0,0.0,0.0,0.0,71.0,53.0,39.0,0.0,0.0,248.0,117.0,0.0,5.4035087719298245,0.0
Northampton,2019,153.0,138.0,15.0,0.0,0.0,0.0,0.0,71.0,49.0,32.0,0.0,11.0,0.0,142.0,0.0,9.2,0.0
Person,2019,244.0,200.0,44.0,0.0,0.0,0.0,0.0,80.0,58.0,44.0,0.0,0.0,244.0,0.0,0.0,4.545454545454546,0.0
Rockingham,2019,245.0,207.0,38.0,0.0,0.0,0.0,0.0,84.0,58.0,44.0,0.0,0.0,245.0,0.0,0.0,5.447368421052632,0.0
Rowan,2019,365.0,289.0,76.0,0.0,0.0,0.0,0.0,100.0,64.0,43.0,0.0,0.0,325.0,40.0,0.0,3.8026315789473686,0.0
Swain,2019,362.0,323.0,39.0,0.0,0.0,0.0,0.0,90.0,51.0,37.0,0.0,0.0,182.0,180.0,0.0,8.282051282051283,0.0
Union,2019,235.0,175.0,57.0,3.0,0.0,0.0,0.0,105.0,64.0,45.0,0.0,0.0,235.0,0.0,0.0,3.0701754385964914,1.276595744680851
Yancey,2019,244.0,191.0,53.0,0.0,0.0,0.0,0.0,87.0,64.0,45.0,0.0,0.0,244.0,0.0,0.0,3.6037735849056602,0.0
Alexander,2020,300.0,297.0,3.0,0.0,0.0,0.0,0.0,54.0,45.0,33.0,0.0,0.0,243.0,0.0,57.0,99.0,0.0
Avery,2020,366.0,352.0,14.0,0.0,0.0,0.0,0.0,80.0,46.0,37.0,0.0,0.0,363.0,3.0,0.0,25.142857142857142,0.0
Caldwell,2020,243.0,243.0,0.0,0.0,0.0,0.0,0.0,50.0,44.0,34.0,0.0,0.0,243.0,0.0,0.0,inf,0.0
Carteret,2020,362.0,359.0,3.0,0.0,0.0,0.0,0.0,61.0,43.0,34.0,0.0,0.0,362.0,0.0,0.0,119.66666666666667,0.0
Caswell,2020,354.0,349.0,5.0,0.0,0.0,0.0,0.0,61.0,44.0,31.0,0.0,0.0,241.0,0.0,113.0,69.8,0.0
Catawba,2020,357.0,312.0,45.0,0.0,0.0,0.0,0.0,94.0,53.0,31.0,0.0,0.0,0.0,357.0,0.0,6.933333333333334,0.0
Davidson,2020,329.0,265.0,64.0,0.0,0.0,0.0,0.0,95.0,54.0,32.0,0.0,0.0,0.0,329.0,0.0,4.140625,0.0
