County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Forsyth,2013,365,266,97,2,0,0,0,122,64,43,0,12,147,206,0
Franklin,2013,208,191,17,0,0,0,0,84,50,38,0,0,208,0,0
Gaston,2013,328,292,36,0,0,0,0,66,52,32,0,0,0,325,3
Graham,2013,214,178,36,0,0,0,0,97,61,43,0,0,214,0,0
Granville,2013,214,191,23,0,0,0,0,93,51,38,0,0,214,0,0
Guilford,2013,357,287,69,1,0,0,0,105,56,39,0,0,150,206,1
Haywood,2013,265,215,50,0,0,0,0,97,58,44,0,0,207,58,0
Hyde,2013,108,104,4,0,0,0,0,56,40,22,0,0,0,108,0
Jackson,2013,253,205,47,1,0,0,0,119,55,44,0,0,187,66,0
Johnston,2013,261,235,26,0,0,0,0,97,50,35,0,0,193,68,0
Lee,2013,56,56,0,0,0,0,0,41,37,31,0,0,56,0,0
Lenoir,2013,262,232,30,0,0,0,0,100,51,36,0,0,188,74,0
Lincoln,2013,214,194,18,2,0,0,0,105,50,40,0,0,214,0,0
Macon,2013,346,330,16,0,0,0,0,84,46,32,0,0,346,0,0
Martin,2013,362,263,99,0,0,0,0,90,58,43,0,0,97,265,0
McDowell,2013,347,306,41,0,0,0,0,68,52,30,0,0,0,347,0
Mecklenburg,2013,365,268,95,2,0,0,0,101,63,43,0,4,199,160,2
Mitchell,2013,118,100,18,0,0,0,0,68,55,32,0,0,0,118,0
Montgomery,2013,361,307,54,0,0,0,0,80,55,37,0,0,255,106,0
New Hanover,2013,359,270,89,0,0,0,0,97,60,40,0,0,125,234,0
Person,2013,211,197,13,1,0,0,0,105,47,37,0,0,211,0,0
Pitt,2013,262,234,28,0,0,0,0,100,51,35,0,0,188,74,0
Robeson,2013,117,101,16,0,0,0,0,64,53,30,0,0,0,117,0
Rockingham,2013,212,188,23,1,0,0,0,105,51,40,0,0,212,0,0
Rowan,2013,365,277,87,1,0,0,0,108,58,43,0,0,228,137,0
Swain,2013,355,291,64,0,0,0,0,93,55,37,0,0,151,204,0
Union,2013,205,182,23,0,0,0,0,84,51,38,0,0,205,0,0
Wake,2013,365,248,117,0,0,0,0,90,62,44,0,0,129,236,0
Watauga,2013,122,109,12,0,1,0,0,153,51,26,0,0,0,122,0
Wayne,2013,359,237,122,0,0,0,0,89,61,40,0,0,0,359,0
Yancey,2013,211,169,42,0,0,0,0,97,61,46,0,0,211,0,0
Alamance,2014,365,308,57,0,0,0,0,73,53,35,0,0,0,365,0
Alexander,2014,214,190,24,0,0,0,0,97,51,40,0,0,214,0,0
Avery,2014,363,327,36,0,0,0,0,90,50,40,0,0,347,16,0
Buncombe,2014,364,304,60,0,0,0,0,93,55,37,0,0,145,219,0
Caldwell,2014,211,194,17,0,0,0,0,100,49,38,0,0,211,0,0
Carteret,2014,341,315,26,0,0,0,0,93,49,37,0,0,341,0,0
Caswell,2014,357,236,121,0,0,0,0,97,61,44,0,0,112,245,0
Catawba,2014,363,301,62,0,0,0,0,85,54,35,0,0,0,363,0
Chatham,2014,258,238,20,0,0,0,0,87,50,37,0,0,186,72,0
Cumberland,2014,314,225,89,0,0,0,0,97,64,43,0,0,169,145,0
Davidson,2014,341,237,104,0,0,0,0,81,59,43,0,0,0,341,0
Davie,2014,214,165,48,1,0,0,0,105,64,44,0,0,214,0,0
