County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Good_to_Moderate_Ratio,Unhealthy_Days_Percentage,Average CO Value,Median CO Value,90th Percentile CO Value,Average NO2 Value,Median NO2 Value,90th Percentile NO2 Value,Average OZONE Value,Median OZONE Value,90th Percentile OZONE Value,Average PM2 Value,Median PM2 Value,90th Percentile PM2 Value,Average PM10 Value,Median PM10 Value,90th Percentile PM10 Value,90th Percentile Sum,Average 90th Percentile
Mecklenburg,1981,365.0,100.0,187.0,55.0,23.0,0.0,0.0,200.0,136.0,63.0,204.0,0.0,161.0,0.0,0.0,0.5347593582887701,21.36986301369863,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1982,365.0,113.0,196.0,42.0,13.0,1.0,0.0,207.0,112.0,61.0,233.0,0.0,132.0,0.0,0.0,0.576530612244898,15.342465753424658,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1983,365.0,98.0,181.0,44.0,34.0,8.0,0.0,220.0,158.0,66.0,188.0,0.0,177.0,0.0,0.0,0.5414364640883977,23.56164383561644,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1984,366.0,114.0,191.0,46.0,15.0,0.0,0.0,197.0,128.0,61.0,195.0,16.0,155.0,0.0,0.0,0.5968586387434555,16.666666666666664,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1985,365.0,109.0,200.0,44.0,11.0,1.0,0.0,208.0,112.0,60.0,178.0,25.0,161.0,0.0,1.0,0.545,15.342465753424658,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1986,365.0,83.0,197.0,47.0,32.0,6.0,0.0,212.0,151.0,64.0,172.0,23.0,170.0,0.0,0.0,0.4213197969543147,23.28767123287671,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1987,365.0,143.0,149.0,37.0,29.0,7.0,0.0,224.0,147.0,58.0,167.0,0.0,198.0,0.0,0.0,0.959731543624161,20.0,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1988,366.0,152.0,128.0,47.0,20.0,19.0,0.0,248.0,151.0,58.0,145.0,0.0,219.0,0.0,2.0,1.1875,23.49726775956284,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1989,365.0,200.0,112.0,43.0,10.0,0.0,0.0,192.0,115.0,49.0,166.0,17.0,178.0,0.0,4.0,1.7857142857142858,14.52054794520548,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1990,365.0,171.0,115.0,53.0,25.0,1.0,0.0,209.0,140.0,52.0,151.0,24.0,189.0,0.0,1.0,1.4869565217391305,21.643835616438356,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
