Date,Source,Site ID,POC,OZONE,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/6/2023,AQS,371190041,1,0.049,ppm,45,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/7/2023,AQS,371190041,1,0.054,ppm,50,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/8/2023,AQS,371190041,1,0.047,ppm,44,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/9/2023,AQS,371190041,1,0.049,ppm,45,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/10/2023,AQS,371190041,1,0.034,ppm,31,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/11/2023,AQS,371190041,1,0.043,ppm,40,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/12/2023,AQS,371190041,1,0.029,ppm,27,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/13/2023,AQS,371190041,1,0.035,ppm,32,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/14/2023,AQS,371190041,1,0.042,ppm,39,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/15/2023,AQS,371190041,1,0.047,ppm,44,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/16/2023,AQS,371190041,1,0.057,ppm,58,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/17/2023,AQS,371190041,1,0.04,ppm,37,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/18/2023,AQS,371190041,1,0.046,ppm,43,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/19/2023,AQS,371190041,1,0.045,ppm,42,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/20/2023,AQS,371190041,1,0.046,ppm,43,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/21/2023,AQS,371190041,1,0.05,ppm,46,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/22/2023,AQS,371190041,1,0.038,ppm,35,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/23/2023,AQS,371190041,1,0.044,ppm,41,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/24/2023,AQS,371190041,1,0.041,ppm,38,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/25/2023,AQS,371190041,1,0.045,ppm,42,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/26/2023,AQS,371190041,1,0.036,ppm,33,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/27/2023,AQS,371190041,1,0.037,ppm,34,Garinger High School,17,100,44201,Ozone,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
