Date,Source,Site ID,POC,CO,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/11/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/12/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/13/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/14/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/15/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/16/2023,AQS,371190041,4,0.9,ppm,10,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/17/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/18/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/19/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/20/2023,AQS,371190041,4,0.4,ppm,5,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/21/2023,AQS,371190041,4,0.8,ppm,9,Garinger High School,17,71,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/22/2023,AQS,371190041,4,0.4,ppm,5,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/23/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/24/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/25/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/26/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/27/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/28/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/29/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/30/2023,AQS,371190041,4,0.4,ppm,5,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
3/31/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/1/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/2/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/3/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/4/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/5/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/6/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/7/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/8/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/9/2023,AQS,371190041,4,0.2,ppm,2,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/10/2023,AQS,371190041,4,0.3,ppm,3,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
4/11/2023,AQS,371190041,4,0.5,ppm,6,Garinger High School,24,100,42101,Carbon monoxide,16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
